"","state","Date_confirmation","confirmed","cumulative_confirmed","state_07d","pop2021","cumulative_confirmed_per_1M"
"76","District of Columbia",2022-06-08,1,2,1,670050,2.98485187672562
"77","District of Columbia",2022-07-08,4,63,3.42857142857143,670050,94.022834116857
"78","District of Columbia",2022-07-05,22,52,9.14285714285714,670050,77.6061487948661
"79","District of Columbia",2022-07-19,2,109,6.14285714285714,670050,162.674427281546
"80","District of Columbia",2022-06-29,1,20,4,670050,29.8485187672562
"81","District of Columbia",2022-07-13,17,85,12.5714285714286,670050,126.856204760839
"82","District of Columbia",2022-06-27,9,15,6.28571428571429,670050,22.3863890754421
"83","District of Columbia",2022-06-28,4,19,4.42857142857143,670050,28.3560928288934
"84","District of Columbia",2022-06-16,1,3,2,670050,4.47727781508843
"85","District of Columbia",2022-07-07,7,59,10.2857142857143,670050,88.0531303634057
"86","District of Columbia",2022-06-06,1,1,1.14285714285714,670050,1.49242593836281
"87","District of Columbia ",2022-06-15,1,1,2.28571428571429,NA,NA
"88","Florida",2022-06-21,3,13,4,21781128,0.596846958522993
"89","Florida",2022-07-20,28,208,25.5714285714286,21781128,9.54955133636789
"90","Florida",2022-07-07,8,72,10.7142857142857,21781128,3.30561392412735
"91","Florida",2022-06-27,11,27,5.14285714285714,21781128,1.23960522154775
"92","Florida",2022-07-05,13,64,9.28571428571429,21781128,2.9383234881132
"93","Florida",2022-06-15,4,9,1.71428571428571,21781128,0.413201740515918
"94","Florida",2022-05-26,2,2,1.42857142857143,21781128,0.0918226090035374
"95","Florida",2022-07-15,82,154,29.1428571428571,21781128,7.07034089327238
"96","Florida",2022-07-18,26,180,10.7142857142857,21781128,8.26403481031836
"97","Florida",2022-06-29,8,35,4.14285714285714,21781128,1.6068956575619
"98","Florida",2022-07-22,21,247,14.7142857142857,21781128,11.3400922119369
"99","Florida",2022-07-21,18,226,7.28571428571429,21781128,10.3759548173997
"100","Florida",2022-06-22,3,16,1.85714285714286,21781128,0.734580872028299
"101","Florida",2022-06-07,1,4,1,21781128,0.183645218007075
"102","Florida",2022-06-17,1,10,1.57142857142857,21781128,0.459113045017687
"103","Florida",2022-06-30,6,41,4.57142857142857,21781128,1.88236348457252
"104","Florida",2022-07-01,10,51,5,21781128,2.3414765295902
"105","Florida",2022-05-31,1,3,1,21781128,0.137733913505306
"106","Florida",2022-06-09,1,5,1.14285714285714,21781128,0.229556522508843
"107","Georgia",2022-07-20,26,158,24.1428571428571,10799566,14.6302175476311
"108","Georgia",2022-07-22,53,211,15.1428571428571,10799566,19.537822168039
"109","Georgia",2022-07-01,3,11,4.42857142857143,10799566,1.01855944951862
"110","Georgia",2022-07-06,1,14,2,10799566,1.29634839029642
"111","Georgia",2022-05-31,1,1,1,10799566,0.0925963135926018
"112","Georgia",2022-07-13,21,69,12.8571428571429,10799566,6.38914563788952
"113","Georgia",2022-07-05,2,13,7.14285714285714,10799566,1.20375207670382
"114","Georgia",2022-07-18,17,110,11.8571428571429,10799566,10.1855944951862
"115","Georgia",2022-06-22,2,5,1.85714285714286,10799566,0.462981567963009
"116","Georgia",2022-06-13,1,2,2.71428571428571,10799566,0.185192627185204
"117","Georgia",2022-07-07,5,19,8.14285714285714,10799566,1.75932995825943
"118","Georgia",2022-06-28,2,7,4.42857142857143,10799566,0.648174195148212
"119","Georgia",2022-07-08,11,30,3.28571428571429,10799566,2.77788940777805
"120","Georgia",2022-07-19,22,132,6.14285714285714,10799566,12.2227133942234
"121","Georgia",2022-07-14,24,93,6.57142857142857,10799566,8.61145716411197
"122","Georgia",2022-06-29,1,8,4.14285714285714,10799566,0.740770508740814
"123","Georgia",2022-06-16,1,3,2,10799566,0.277788940777805
"124","Georgia",2022-07-12,18,48,5.42857142857143,10799566,4.44462305244489
"125","Hawaii",2022-06-13,2,5,2.57142857142857,1441553,3.46848156120517
"126","Hawaii",2022-06-10,1,3,1.28571428571429,1441553,2.0810889367231
"127","Hawaii",2022-06-24,1,6,2.14285714285714,1441553,4.16217787344621
"128","Hawaii",2022-06-08,1,2,1,1441553,1.38739262448207
"129","Hawaii",2022-07-15,2,8,29.2857142857143,1441553,5.54957049792828
"130","Hawaii",2022-06-03,1,1,1.14285714285714,1441553,0.693696312241035
"131","Idaho",2022-07-06,1,1,2,1900923,0.526060234949022
"132","Idaho",2022-07-21,1,2,7.14285714285714,1900923,1.05212046989804
"133","Illinois",2022-06-08,1,3,1,12671469,0.236752344972789
"134","Illinois",2022-06-21,4,19,4,12671469,1.499431518161
"135","Illinois",2022-07-07,29,91,8,12671469,7.18148779750793
"136","Illinois",2022-07-15,14,174,18,12671469,13.7316360084218
"137","Illinois",2022-06-24,7,26,2.42857142857143,12671469,2.05185365643084
"138","Illinois",2022-06-03,1,2,1.14285714285714,12671469,0.157834896648526
"139","Illinois",2022-07-05,9,62,7.28571428571429,12671469,4.8928817961043
"140","Illinois",2022-07-22,8,238,16,12671469,18.7823527011746
"141","Illinois",2022-06-27,1,27,3.71428571428571,12671469,2.1307711047551
"142","Illinois",2022-07-01,7,53,3.85714285714286,12671469,4.18262476118594
"143","Illinois",2022-06-17,2,15,2,12671469,1.18376172486394
"144","Illinois",2022-06-29,1,46,4.14285714285714,12671469,3.6302026229161
"145","Illinois",2022-07-14,8,160,7,12671469,12.6267917318821
"146","Illinois",2022-06-28,18,45,5.57142857142857,12671469,3.55128517459183
"147","Illinois",2022-06-15,2,10,1.85714285714286,12671469,0.78917448324263
"148","Illinois",2022-07-20,8,208,11.5714285714286,12671469,16.4148292514467
"149","Illinois",2022-06-02,1,1,1,12671469,0.078917448324263
"150","Illinois",2022-07-21,22,230,7.14285714285714,12671469,18.1510131145805
"151","Illinois",2022-06-09,1,4,1.14285714285714,12671469,0.315669793297052
"152","Illinois",2022-07-13,31,152,11.7142857142857,12671469,11.995452145288
"153","Illinois",2022-07-11,30,121,6.71428571428571,12671469,9.54901124723582
"154","Illinois",2022-07-18,26,200,11.7142857142857,12671469,15.7834896648526
"155","Illinois",2022-06-16,3,13,2.57142857142857,12671469,1.02592682821542
"156","Illinois",2022-06-13,4,8,1.71428571428571,12671469,0.631339586594104
"157","Indiana",2022-07-05,2,5,5,6805985,0.734647519793241
"158","Indiana",2022-07-08,1,6,3.14285714285714,6805985,0.881577023751889
"159","Indiana",2022-07-11,1,7,7.85714285714286,6805985,1.02850652771054
"160","Indiana",2022-07-12,3,10,5,6805985,1.46929503958648
"161","Indiana",2022-06-21,2,2,3.57142857142857,6805985,0.293859007917296
"162","Indiana",2022-07-14,1,11,6.85714285714286,6805985,1.61622454354513
"163","Indiana",2022-07-20,15,26,11.7142857142857,6805985,3.82016710292485
"164","Indiana",2022-07-21,5,31,7.42857142857143,6805985,4.55481462271809
"165","Indiana",2022-07-01,1,3,4,6805985,0.440788511875944
"166","Iowa",2022-07-19,1,4,6.14285714285714,3193079,1.25270937549619
"167","Iowa",2022-07-22,1,6,19,3193079,1.87906406324429
"168","Iowa",2022-07-20,1,5,7.85714285714286,3193079,1.56588671937024
"169","Iowa",2022-07-12,1,2,4.85714285714286,3193079,0.626354687748095
"170","Iowa",2022-07-15,1,3,16,3193079,0.939532031622143
"171","Iowa",2022-07-01,1,1,2.71428571428571,3193079,0.313177343874048
"172","Kansas",2022-07-21,1,2,5.28571428571429,2934582,0.681528067711177
"173","Kansas",2022-07-14,1,1,6.28571428571429,2934582,0.340764033855588
"174","Kentucky",2022-07-11,1,3,8.14285714285714,4509394,0.665277862169507
"175","Kentucky",2022-07-05,1,2,3.57142857142857,4509394,0.443518574779671
"176","Kentucky",2022-07-20,1,4,4.42857142857143,4509394,0.887037149559342
"177","Kentucky",2022-06-24,1,1,2.57142857142857,4509394,0.221759287389836
"178","Louisiana",2022-07-15,3,6,4.57142857142857,4624047,1.29756466575707
"179","Louisiana",2022-07-20,3,16,3.57142857142857,4624047,3.46017244201886
"180","Louisiana",2022-07-08,1,1,3,4624047,0.216260777626179
"181","Louisiana",2022-07-12,2,3,4,4624047,0.648782332878537
"182","Louisiana",2022-07-22,4,21,17.1428571428571,4624047,4.54147633014976
"183","Louisiana",2022-07-19,5,13,5.28571428571429,4624047,2.81139010914033
"184","Louisiana",2022-07-18,2,8,11.7142857142857,4624047,1.73008622100943
"185","Louisiana",2022-07-21,1,17,5.28571428571429,4624047,3.67643321964504
"186","Maine",NA,NA,NA,NA,1372247,NA
"187","Maryland",2022-06-27,2,5,3.71428571428571,6165129,0.811013038007802
"188","Maryland",2022-07-07,5,14,13.7142857142857,6165129,2.27083650642184
"189","Maryland",2022-06-21,1,2,3.14285714285714,6165129,0.324405215203121
"190","Maryland",2022-06-22,1,3,2.71428571428571,6165129,0.486607822804681
"191","Maryland",2022-07-13,1,23,12.4285714285714,6165129,3.73065997483589
"192","Maryland",2022-07-15,7,37,5,6165129,6.00149648125773
"193","Maryland",2022-07-08,1,15,2.57142857142857,6165129,2.4330391140234
"194","Maryland",2022-07-20,1,49,1.57142857142857,6165129,7.94792777247646
"195","Maryland",2022-07-01,2,7,5.71428571428571,6165129,1.13541825321092
"196","Maryland",2022-07-18,9,46,8.14285714285714,6165129,7.46131994967177
"197","Maryland",2022-07-11,7,22,7.57142857142857,6165129,3.56845736723433
"198","Maryland",2022-07-22,22,71,19.5714285714286,6165129,11.5163851397108
"199","Maryland",2022-07-19,2,48,5.28571428571429,6165129,7.7857251648749
"200","Maryland",2022-07-14,7,30,3,6165129,4.86607822804681
"201","Maryland",2022-07-05,2,9,10.8571428571429,6165129,1.45982346841404
"202","Maryland",2022-06-16,1,1,2,6165129,0.16220260760156
"203","Massachusetts",2022-07-05,6,29,9.71428571428571,6984723,4.15191840821748
"204","Massachusetts",2022-07-01,4,23,4.85714285714286,6984723,3.29290080651731
"205","Massachusetts",2022-06-14,1,4,1.71428571428571,6984723,0.572678401133445
"206","Massachusetts",2022-07-20,2,55,1.71428571428571,6984723,7.87432801558487
"207","Massachusetts",2022-07-19,2,53,2.28571428571429,6984723,7.58798881501815
"208","Massachusetts",2022-06-11,2,3,2.14285714285714,6984723,0.429508800850084
"209","Massachusetts",2022-06-24,1,12,2.28571428571429,6984723,1.71803520340034
"210","Massachusetts",2022-06-27,1,13,2.57142857142857,6984723,1.8612048036837
"211","Massachusetts",2022-07-07,1,30,12.8571428571429,6984723,4.29508800850084
"212","Massachusetts",2022-06-29,2,15,4.14285714285714,6984723,2.14754400425042
"213","Massachusetts",2022-06-30,4,19,4.57142857142857,6984723,2.72022240538386
"214","Massachusetts",2022-05-18,1,1,NA,6984723,0.143169600283361
"215","Massachusetts",2022-06-22,2,9,2.42857142857143,6984723,1.28852640255025
"216","Massachusetts",2022-07-08,2,32,1.14285714285714,6984723,4.58142720906756
"217","Massachusetts",2022-07-11,10,42,3.71428571428571,6984723,6.01312321190117
"218","Massachusetts",2022-06-23,2,11,3.14285714285714,6984723,1.57486560311697
"219","Massachusetts",2022-07-22,24,79,22.2857142857143,6984723,11.3103984223855
"220","Massachusetts",2022-07-12,2,44,1.71428571428571,6984723,6.2994624124679
"221","Massachusetts",2022-07-13,5,49,10.1428571428571,6984723,7.0153104138847
"222","Massachusetts",2022-06-16,1,7,2,6984723,1.00218720198353
"223","Massachusetts",2022-07-14,2,51,2.71428571428571,6984723,7.30164961445143
"224","Massachusetts",2022-06-15,2,6,2.42857142857143,6984723,0.859017601700168
"225","Michigan",2022-07-08,1,3,4.28571428571429,10050811,0.298483376117609
"226","Michigan",2022-06-30,1,1,6,10050811,0.0994944587058696
"227","Michigan",2022-07-20,2,19,2.28571428571429,10050811,1.89039471541152
"228","Michigan",2022-07-18,1,14,11.4285714285714,10050811,1.39292242188217
"229","Michigan",2022-07-13,3,9,7.57142857142857,10050811,0.895450128352826
"230","Michigan",2022-07-06,1,2,4.85714285714286,10050811,0.198988917411739
"231","Michigan",2022-07-19,3,17,3.57142857142857,10050811,1.69140579799978
"232","Michigan",2022-07-15,3,13,3.14285714285714,10050811,1.2934279631763
"233","Michigan",2022-07-22,8,27,22.4285714285714,10050811,2.68635038505848
"234","Michigan",2022-07-14,1,10,2.71428571428571,10050811,0.994944587058696
"235","Michigan",2022-07-11,3,6,3.85714285714286,10050811,0.596966752235218
"236","Minnesota",2022-07-06,2,8,4.14285714285714,5707390,1.40169149120701
"237","Minnesota",2022-07-15,2,12,12.5714285714286,5707390,2.10253723681052
"238","Minnesota",2022-06-28,1,2,5.28571428571429,5707390,0.350422872801753
"239","Minnesota",2022-07-19,2,15,10.7142857142857,5707390,2.62817154601315
"240","Minnesota",2022-06-27,1,1,4,5707390,0.175211436400877
"241","Minnesota",2022-07-14,1,10,11.2857142857143,5707390,1.75211436400877
"242","Minnesota",2022-07-21,4,19,2.28571428571429,5707390,3.32901729161666
"243","Minnesota",2022-07-18,1,13,9.42857142857143,5707390,2.2777486732114
"244","Minnesota",2022-07-11,1,9,4.28571428571429,5707390,1.57690292760789
"245","Minnesota",2022-06-30,4,6,5.28571428571429,5707390,1.05126861840526
"246","Mississippi",NA,NA,NA,NA,2949965,NA
"247","Missouri",2022-07-19,1,5,10.5714285714286,6168187,0.810610962345986
"248","Missouri",2022-07-12,1,4,1.57142857142857,6168187,0.648488769876789
"249","Missouri",2022-06-21,1,1,2.85714285714286,6168187,0.162122192469197
"250","Missouri",2022-07-01,1,3,5.28571428571429,6168187,0.486366577407592
"251","Missouri",2022-06-22,1,2,2.14285714285714,6168187,0.324244384938394
"252","Montana",NA,NA,NA,NA,1104271,NA
"253","Nebraska",2022-07-08,1,2,4.28571428571429,1963692,1.01848966131145
"254","Nebraska",2022-06-27,1,1,4,1963692,0.509244830655724
"255","Nebrasksa",2022-07-21,3,3,37.1428571428571,NA,NA
"256","Nevada",2022-06-27,1,2,3.85714285714286,3143991,0.636134136516294
"257","Nevada",2022-07-06,2,4,4.42857142857143,3143991,1.27226827303259
"258","Nevada",2022-07-21,1,8,37.1428571428571,3143991,2.54453654606518
"259","Nevada",2022-07-12,1,6,2,3143991,1.90840240954888
"260","Nevada",2022-07-20,1,7,2,3143991,2.22646947780703
"261","Nevada",2022-06-15,1,1,2.42857142857143,3143991,0.318067068258147
"262","Nevada",2022-07-08,1,5,5,3143991,1.59033534129074
"263","New Hampshire",2022-06-30,1,1,4.71428571428571,1388992,0.719946551168041
"264","New Hampshire",2022-07-20,2,3,3.14285714285714,1388992,2.15983965350412
"265","New Jersey",2022-06-21,1,1,2.42857142857143,9267130,0.107908273651066
"266","New Jersey",2022-07-14,6,26,10.4285714285714,9267130,2.80561511492771
"267","New Jersey",2022-07-05,3,7,9.85714285714286,9267130,0.755357915557459
"268","New Jersey",2022-07-19,10,41,10.4285714285714,9267130,4.42423921969369
"269","New Jersey",2022-06-29,2,4,3.57142857142857,9267130,0.431633094604263
"270","New Jersey",2022-07-11,3,11,3.71428571428571,9267130,1.18699101016172
"271","New Jersey",2022-07-13,9,20,3.28571428571429,9267130,2.15816547302131
"272","New Jersey",2022-07-07,1,8,12.2857142857143,9267130,0.863266189208525
"273","New Jersey",2022-07-15,5,31,12.4285714285714,9267130,3.34515648318303
"274","New Jersey",2022-06-28,1,2,4.85714285714286,9267130,0.215816547302131
"275","New Mexico",2022-07-18,1,6,9.42857142857143,2115877,2.83570358768492
"276","New Mexico",2022-07-21,1,7,37.1428571428571,2115877,3.30832085229907
"277","New Mexico",2022-07-15,1,5,11.5714285714286,2115877,2.36308632307076
"278","New Mexico",2022-07-14,1,4,10.5714285714286,2115877,1.89046905845661
"279","New Mexico",2022-07-13,1,3,3.28571428571429,2115877,1.41785179384246
"280","New Mexico",2022-07-12,2,2,1.85714285714286,2115877,0.945234529228306
"281","New York",2022-06-10,1,17,1.42857142857143,19835913,0.857031385447194
"282","New York",2022-05-24,2,3,NA,19835913,0.151240832725975
"283","New York",2022-06-18,4,40,3.85714285714286,19835913,2.01654443634634
"284","New York",2022-06-28,9,116,4.85714285714286,19835913,5.84797886540438
"285","New York",2022-06-06,1,12,1.14285714285714,19835913,0.604963330903901
"286","New York",2022-07-10,4,351,5,19835913,17.6951774289391
"287","New York",2022-06-29,14,130,3.57142857142857,19835913,6.5537694181256
"288","New York",2022-06-14,5,26,1.57142857142857,19835913,1.31075388362512
"289","New York",2022-07-14,61,414,12,19835913,20.8712349161846
"290","New York",2022-07-04,10,193,5.57142857142857,19835913,9.72982690537108
"291","New York",2022-06-03,2,10,1.14285714285714,19835913,0.504136109086585
"292","New York",2022-06-27,21,107,3.85714285714286,19835913,5.39425636722645
"293","New York",2022-05-19,1,1,NA,19835913,0.0504136109086585
"294","New York",2022-07-12,2,353,1.85714285714286,19835913,17.7960046507564
"295","New York",2022-06-09,2,16,1.14285714285714,19835913,0.806617774538535
"296","New York",2022-06-26,9,86,5.57142857142857,19835913,4.33557053814463
"297","New York",2022-07-08,23,337,4.85714285714286,19835913,16.9893868762179
"298","New York",2022-06-20,4,45,4.28571428571429,19835913,2.26861249088963
"299","New York",2022-06-07,1,13,1,19835913,0.65537694181256
"300","New York",2022-06-16,6,34,2,19835913,1.71406277089439
"301","New York",2022-06-30,19,149,4.85714285714286,19835913,7.51162802539011
"302","New York",2022-06-12,2,19,2.14285714285714,19835913,0.957858607264511
"303","New York",2022-05-27,1,4,1.14285714285714,19835913,0.201654443634634
