"","Country","Date_confirmation","confirmed","suspected","cumulative_confirmed","cumulative_suspected","confirmed_suspected","cumulative_confirmed_suspected","pop2022","daily_confirmed_per_1M","daily_suspected_per_1M","daily_confirmed_suspected_per_1M","cumulative_confirmed_per_1M","cumulative_suspected_per_1M","cumulative_confirmed_suspected_per_1M","daily_confirmed_07d","daily_suspected_07d","daily_confirmed_suspected_07d"
"45","Belgium",2022-06-15,27,0,52,0,27,52,11668278,2.31,0,2.31,4.46,0,4.46,31.1428571428571,0,31.1428571428571
"46","Belgium",2022-06-28,40,0,117,0,40,117,11668278,3.43,0,3.43,10.03,0,10.03,30,0,30
"47","Belgium",2022-07-25,82,0,393,0,82,393,11668278,7.03,0,7.03,33.68,0,33.68,42,0,42
"48","Belgium",2022-06-01,5,0,14,0,5,14,11668278,0.43,0,0.43,1.2,0,1.2,35.8571428571429,0,35.8571428571429
"49","Belgium",2022-05-25,2,0,6,0,2,6,11668278,0.17,0,0.17,0.51,0,0.51,32.1428571428571,0,32.1428571428571
"50","Belgium",2022-07-18,87,0,311,0,87,311,11668278,7.46,0,7.46,26.65,0,26.65,26.7142857142857,0,26.7142857142857
"51","Belgium",2022-06-08,8,0,25,0,8,25,11668278,0.69,0,0.69,2.14,0,2.14,15.1428571428571,0,15.1428571428571
"52","Belgium",2022-05-19,1,0,1,0,1,1,11668278,0.09,0,0.09,0.09,0,0.09,14.8571428571429,0,14.8571428571429
"53","Belgium",2022-05-20,2,0,3,0,2,3,11668278,0.17,0,0.17,0.26,0,0.26,15,0,15
"54","Belgium",2022-05-21,1,0,4,0,1,4,11668278,0.09,0,0.09,0.34,0,0.34,2.57142857142857,0.142857142857143,2.71428571428571
"55","Belgium",2022-06-03,3,0,17,0,3,17,11668278,0.26,0,0.26,1.46,0,1.46,2.14285714285714,0.285714285714286,2.42857142857143
"56","Benin",2022-06-14,3,0,3,0,3,3,12784726,0.23,0,0.23,0.23,0,0.23,18.4285714285714,0.285714285714286,18.7142857142857
"57","Bolivia",2022-05-26,0,1,0,1,1,1,11992656,0,0.08,0.08,0,0.08,0.08,20,0.285714285714286,20.2857142857143
"58","Brazil",2022-06-23,5,1,16,2,6,18,215353593,0.02,0,0.03,0.07,0.01,0.08,20,0.285714285714286,20.2857142857143
"59","Brazil",2022-07-25,115,0,810,7,115,817,215353593,0.53,0,0.53,3.76,0.03,3.79,19.8571428571429,0.285714285714286,20.1428571428571
"60","Brazil",2022-07-21,13,0,605,7,13,612,215353593,0.06,0,0.06,2.81,0.03,2.84,21.5714285714286,0.285714285714286,21.8571428571429
"61","Brazil",2022-06-11,1,0,2,0,1,2,215353593,0,0,0,0.01,0,0.01,27.1428571428571,0.142857142857143,27.2857142857143
"62","Brazil",2022-07-03,2,0,78,7,2,85,215353593,0.01,0,0.01,0.36,0.03,0.39,26.7142857142857,0,26.7142857142857
"63","Brazil",2022-07-01,15,0,64,7,15,71,215353593,0.07,0,0.07,0.3,0.03,0.33,11.7142857142857,0,11.7142857142857
"64","Brazil",2022-07-14,39,0,347,7,39,354,215353593,0.18,0,0.18,1.61,0.03,1.64,11.5714285714286,0,11.5714285714286
"65","Brazil",2022-06-25,2,0,19,2,2,21,215353593,0.01,0,0.01,0.09,0.01,0.1,11.5714285714286,0,11.5714285714286
"66","Brazil",2022-07-11,10,0,228,7,10,235,215353593,0.05,0,0.05,1.06,0.03,1.09,11.4285714285714,0,11.4285714285714
"67","Brazil",2022-07-02,12,0,76,7,12,83,215353593,0.06,0,0.06,0.35,0.03,0.39,9.42857142857143,0,9.42857142857143
"68","Brazil",2022-06-12,1,0,3,0,1,3,215353593,0,0,0,0.01,0,0.01,4,0,4
"69","Brazil",2022-06-26,1,0,20,2,1,22,215353593,0,0,0,0.09,0.01,0.1,3.85714285714286,0,3.85714285714286
"70","Brazil",2022-06-24,1,0,17,2,1,19,215353593,0,0,0,0.08,0.01,0.09,4.71428571428571,0,4.71428571428571
"71","Brazil",2022-06-21,1,0,9,0,1,9,215353593,0,0,0,0.04,0,0.04,19,0,19
"72","Brazil",2022-06-16,1,0,6,0,1,6,215353593,0,0,0,0.03,0,0.03,20.5714285714286,0.714285714285714,21.2857142857143
"73","Brazil",2022-06-29,16,0,37,2,16,39,215353593,0.07,0,0.07,0.17,0.01,0.18,28.4285714285714,0.714285714285714,29.1428571428571
"74","Brazil",2022-07-27,112,0,978,7,112,985,215353593,0.52,0,0.52,4.54,0.03,4.57,33.7142857142857,0.714285714285714,34.4285714285714
"75","Brazil",2022-06-30,12,5,49,7,17,56,215353593,0.06,0.02,0.08,0.23,0.03,0.26,38.7142857142857,0.714285714285714,39.4285714285714
"76","Brazil",2022-07-26,56,0,866,7,56,873,215353593,0.26,0,0.26,4.02,0.03,4.05,44.5714285714286,0.714285714285714,45.2857142857143
"77","Brazil",2022-07-12,38,0,266,7,38,273,215353593,0.18,0,0.18,1.24,0.03,1.27,42.4285714285714,0.714285714285714,43.1428571428571
"78","Brazil",2022-07-06,36,0,142,7,36,149,215353593,0.17,0,0.17,0.66,0.03,0.69,39.2857142857143,0.714285714285714,40
"79","Brazil",2022-07-13,42,0,308,7,42,315,215353593,0.2,0,0.2,1.43,0.03,1.46,37.7142857142857,0,37.7142857142857
"80","Brazil",2022-06-08,1,0,1,0,1,1,215353593,0,0,0,0,0,0,30,0.142857142857143,30.1428571428571
"81","Brazil",2022-07-22,90,0,695,7,90,702,215353593,0.42,0,0.42,3.23,0.03,3.26,28.2857142857143,0.142857142857143,28.4285714285714
"82","Brazil",2022-06-28,1,0,21,2,1,23,215353593,0,0,0,0.1,0.01,0.11,27.4285714285714,0.142857142857143,27.5714285714286
"83","Brazil",2022-06-22,2,1,11,1,3,12,215353593,0.01,0,0.01,0.05,0,0.06,21.7142857142857,0.142857142857143,21.8571428571429
"84","Brazil",2022-07-05,26,0,106,7,26,113,215353593,0.12,0,0.12,0.49,0.03,0.52,23.5714285714286,0.142857142857143,23.7142857142857
"85","Brazil",2022-07-07,30,0,172,7,30,179,215353593,0.14,0,0.14,0.8,0.03,0.83,15.2857142857143,0.142857142857143,15.4285714285714
"86","Brazil",2022-06-14,2,0,5,0,2,5,215353593,0.01,0,0.01,0.02,0,0.02,15.2857142857143,0.142857142857143,15.4285714285714
"87","Brazil",2022-07-09,14,0,218,7,14,225,215353593,0.07,0,0.07,1.01,0.03,1.04,29.5714285714286,0,29.5714285714286
"88","Brazil",2022-07-08,32,0,204,7,32,211,215353593,0.15,0,0.15,0.95,0.03,0.98,46.2857142857143,0,46.2857142857143
