Rank,name,pop2022,pop2021,GrowthRate,area,Density
78,Benin,12784.726,12451.04,1.0268,112622,113.5189
79,Burundi,12624.84,12255.433,1.0301,27834,453.5762
80,Tunisia,12046.656,11935.766,1.0093,163610,73.6303
81,Bolivia,11992.656,11832.94,1.0135,1098581,10.9165
82,Haiti,11680.283,11541.685,1.012,27750,420.9111
83,Belgium,11668.278,11632.326,1.0031,30528,382.2156
84,South Sudan,11618.511,11381.378,1.0208,619745,18.7472
85,Cuba,11305.652,11317.505,0.999,109884,102.8872
86,Dominican Republic,11056.37,10953.703,1.0094,48671,227.1655
87,Czech Republic,10736.784,10724.555,1.0011,78865,136.1413
88,Greece,10316.637,10370.744,0.9948,131990,78.1623
89,Jordan,10300.869,10269.021,1.0031,89342,115.297
90,Azerbaijan,10300.205,10223.342,1.0075,86600,118.94
91,Honduras,10221.247,10062.991,1.0157,112492,90.862
92,Sweden,10218.971,10160.169,1.0058,450295,22.6939
93,Portugal,10140.57,10167.925,0.9973,92090,110.1159
94,United Arab Emirates,10081.785,9991.089,1.0091,83600,120.5955
95,Tajikistan,9957.464,9749.627,1.0213,143100,69.584
96,Hungary,9606.259,9634.164,0.9971,93028,103.262
97,Belarus,9432.8,9442.862,0.9989,207600,45.4374
98,Papua New Guinea,9292.169,9119.01,1.019,462840,20.0764
99,Austria,9066.71,9043.07,1.0026,83871,108.103
100,Israel,8922.892,8789.774,1.0151,20770,429.6048
101,Switzerland,8773.637,8715.494,1.0067,41284,212.5191
102,Togo,8680.837,8478.25,1.0239,56785,152.872
103,Serbia,8653.016,8697.55,0.9949,88361,97.928
104,Sierra Leone,8306.436,8141.343,1.0203,71740,115.7853
105,Hong Kong,7604.299,7552.81,1.0068,1104,6887.952
106,Laos,7481.023,7379.358,1.0138,236800,31.5922
107,Paraguay,7305.843,7219.638,1.0119,406752,17.9614
108,Libya,7040.745,6958.532,1.0118,1759540,4.0015
109,Bulgaria,6844.597,6896.663,0.9925,110879,61.7303
110,Nicaragua,6779.1,6702.385,1.0114,130373,51.9977
111,Kyrgyzstan,6728.271,6628.356,1.0151,199951,33.6496
112,Lebanon,6684.849,6769.146,0.9875,10452,639.5761
113,El Salvador,6550.389,6518.499,1.0049,21041,311.3155
114,Turkmenistan,6201.943,6117.924,1.0137,488100,12.7063
115,Singapore,5943.546,5896.686,1.0079,710,8371.1915
116,Denmark,5834.95,5813.298,1.0037,43094,135.4005
117,Republic of the Congo,5797.805,5657.013,1.0249,342000,16.9526
118,Finland,5554.96,5548.36,1.0012,338424,16.4142
119,Norway,5511.37,5465.63,1.0084,323802,17.0208
120,Scotland,5504.6507,,1.0035,77933,70.6331
121,Slovakia,5460.193,5460.721,0.9999,49037,111.3484
122,Palestine,5345.541,5222.748,1.0235,6220,859.4117
123,Oman,5323.993,5223.375,1.0193,309500,17.2019
124,Liberia,5305.117,5180.203,1.0241,111369,47.6355
125,Costa Rica,5182.354,5139.052,1.0084,51100,101.4159
126,Ireland,5020.199,4982.907,1.0075,70273,71.4385
127,Central African Republic,5016.678,4919.981,1.0197,622984,8.0527
128,Mauritania,4901.981,4775.119,1.0266,1030700,4.756
129,New Zealand,4898.203,4860.643,1.0077,270467,18.1102
130,Panama,4446.964,4381.579,1.0149,75417,58.965
131,Kuwait,4380.326,4328.55,1.012,17818,245.8371
